SK's share of community vs. chinese spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
From China,1,1,1,1,1,,1,1,,,,,1,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Spread,,,,,,1,,,1,1,1,1,,1,,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cum from China,1,2,3,4,5,5,6,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Cum from Community,,0,0,0,0,1,1,1,2,3,4,5,5,6,6,7,8,9,10,11,12,13,13,13,14,15,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
Share China,100%,100%,100%,100%,100%,83%,86%,88%,78%,70%,64%,58%,62%,57%,60%,56%,53%,50%,47%,45%,43%,41%,43%,46%,44%,42%,41%,43%,41%,40%,39%,38%,36%,35%,34%,33%,32%,32%,31%,30%,29%,29%,28%,27%,27%,26%,26%,25%,24%,24%,24%,23%,23%,22%,22%,21%,21%,21%,20%,20%,20%,19%,19%,19%,18%,18%,18%,18%,17%,17%,17%,17%,16%,16%,16%,16%,16%,15%,15%,15%,15%,15%,14%,14%,14%,14%,14%,14%,13%,13%,13%,13%,13%,13%,13%,13%,12%,12%,12%,12%,12%,12%,12%,12%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,1%
Share Community,0%,0%,0%,0%,0%,17%,14%,13%,22%,30%,36%,42%,38%,43%,40%,44%,47%,50%,53%,55%,57%,59%,57%,54%,56%,58%,59%,57%,59%,60%,61%,63%,64%,65%,66%,67%,68%,68%,69%,70%,71%,71%,72%,73%,73%,74%,74%,75%,76%,76%,76%,77%,77%,78%,78%,79%,79%,79%,80%,80%,80%,81%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,99%
