Sri Lanka,1,0,0,20675000,Asia,29/01/2020
Australia,5,0,0,23868800,Oceania,29/01/2020
Germany,4,0,0,81083600,Europe,29/01/2020
Finland,1,0,0,5485215,Europe,29/01/2020
United Arab Emirates,4,0,0,9157000,Asia,29/01/2020
China,8124,171,0,1371590000,Asia,30/01/2020
Hong Kong,10,0,0,7298600,Asia,30/01/2020
Taiwan,9,0,0,23461708,Asia,30/01/2020
Macau,7,0,0,642900,Asia,30/01/2020
United States,5,0,0,321645000,Americas,30/01/2020
Japan,11,0,0,126865000,Asia,30/01/2020
Thailand,14,0,0,65104000,Asia,30/01/2020
South Korea,4,0,0,51448183,Asia,30/01/2020
Singapore,10,0,0,5469700,Asia,30/01/2020
Vietnam,2,0,0,91812000,Asia,30/01/2020
France,5,0,0,66186000,Europe,30/01/2020
Nepal,1,0,0,28037904,Asia,30/01/2020
Malaysia,8,0,0,30678800,Asia,30/01/2020
Canada,3,0,0,35749600,Americas,30/01/2020
Cambodia,1,0,0,15405157,Asia,30/01/2020
Sri Lanka,1,0,0,20675000,Asia,30/01/2020
Australia,9,0,0,23868800,Oceania,30/01/2020
Germany,4,0,0,81083600,Europe,30/01/2020
Finland,1,0,0,5485215,Europe,30/01/2020
United Arab Emirates,4,0,0,9157000,Asia,30/01/2020
Philippines,1,0,0,101920000,Asia,30/01/2020
India,1,0,0,1275840000,Asia,30/01/2020
China,9783,213,0,1371590000,Asia,31/01/2020
Hong Kong,12,0,0,7298600,Asia,31/01/2020
Taiwan,10,0,0,23461708,Asia,31/01/2020
Macau,7,0,0,642900,Asia,31/01/2020
Thailand,19,0,0,65104000,Asia,31/01/2020
Japan,15,0,0,126865000,Asia,31/01/2020
Singapore,13,0,0,5469700,Asia,31/01/2020
South Korea,11,0,0,51448183,Asia,31/01/2020
Malaysia,8,0,0,30678800,Asia,31/01/2020
France,5,0,0,66186000,Europe,31/01/2020
Germany,5,0,0,81083600,Europe,31/01/2020
Australia,9,0,0,23868800,Oceania,31/01/2020
United Arab Emirates,4,0,0,9157000,Asia,31/01/2020
United States,6,0,0,321645000,Americas,31/01/2020
Vietnam,2,0,0,91812000,Asia,31/01/2020
Canada,3,0,0,35749600,Americas,31/01/2020
Italy,2,0,0,60753794,Europe,31/01/2020
United Kingdom,2,0,0,64800000,Europe,31/01/2020
Russia,2,0,0,146556330,Europe,31/01/2020
Nepal,1,0,0,28037904,Asia,31/01/2020
Cambodia,1,0,0,15405157,Asia,31/01/2020
Sri Lanka,1,0,0,20675000,Asia,31/01/2020
Finland,1,0,0,5485215,Europe,31/01/2020
Philippines,1,0,0,101920000,Asia,31/01/2020
India,1,0,0,1275840000,Asia,31/01/2020
Sweden,1,0,0,9793172,Europe,31/01/2020
China,11871,259,0,1371590000,Asia,01/02/2020
Japan,20,0,0,126865000,Asia,01/02/2020
Thailand,19,0,0,65104000,Asia,01/02/2020
Singapore,16,0,0,5469700,Asia,01/02/2020
Hong Kong,13,0,0,7298600,Asia,01/02/2020
South Korea,12,0,0,51448183,Asia,01/02/2020
Taiwan,10,0,0,23461708,Asia,01/02/2020
Malaysia,8,0,0,30678800,Asia,01/02/2020
Germany,8,0,0,81083600,Europe,01/02/2020
Macau,7,0,0,642900,Asia,01/02/2020
France,6,0,0,66186000,Europe,01/02/2020
Vietnam,6,0,0,91812000,Asia,01/02/2020
Australia,12,0,0,23868800,Oceania,01/02/2020
United Arab Emirates,4,0,0,9157000,Asia,01/02/2020
Canada,4,0,0,35749600,Americas,01/02/2020
Italy,2,0,0,60753794,Europe,01/02/2020
Russia,2,0,0,146556330,Europe,01/02/2020
United Kingdom,2,0,0,64800000,Europe,01/02/2020
Cambodia,1,0,0,15405157,Asia,01/02/2020
Finland,1,0,0,5485215,Europe,01/02/2020
India,1,0,0,1275840000,Asia,01/02/2020
Nepal,1,0,0,28037904,Asia,01/02/2020
Philippines,1,0,0,101920000,Asia,01/02/2020
